Book,Aspect,Level,Memory,Memory Aspects,Lesson,Lessons,Lesson Aspects,Price,Language,Type,Period,Contaminated,Description
Cardea's Delights,Knock,8,Memory: Pattern,Forge 1 / Knock 2,Lesson: The Great Signs and the Great Scars,2,Grail / Knock,4,Latin,,Solar,10%,The third volume of Abbot Geffrey's hypothetical theological dialogues in the Socratic mode.
The Gospel of Zacchaeus,Knock,8,Memory: A Stolen Secret,Knock 1 / Moon 2,Lesson: Horns & Ivories,2,Scale / Knock,4,Greek,,Solar,10%,"An extremely heterodox account of the Nazarene Messiah and his works, describing his ascension to the Mansus through the opening of his body."
An Almanac of Entrances,Knock,10,Secret Threshold,Knock 2 / Rose 1,Lesson: Edicts Liminal,2,Moth / Knock,2,,,Curia,5%,"A handbook of sealed and unsealed byways and shortcuts through the Bounds, compiled by Willem Harries in the 1860s - during his term as Librarian of Hush House."
On Imperfections,Knock,10,Memory: Pattern,Forge 1 / Knock 2,Lesson: Glassblowing & Vesselcrafting,2,Knock / Sky,3,,,Baronial,5%,"Poemander, light-smith and Lantern-long, describes the process of 'transinhabitation', which he calls 'a manifestation of imperfection.'"
Towards a Fundamental Aesthetic,Knock,10,Numen: Inescapable Confinement,Knock 5 / Scale 5 / Winter 5,Lesson: Glassblowing & Vesselcrafting,2,Knock / Sky,8,Ericapaean,,Unknown,0%,"Or, 'The House of Glass'. Julian Coseley considered this his masterwork. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
On the Matter and the Deeds of Serpents,Knock,12,Secret Threshold,Knock 2 / Rose 1,Lesson: Edicts Liminal,2,Moth / Knock,2,Vak,,Curia,5%,"This was probably the 'prophecies of the naga' rendered into English, and illustrated, by 'William Midnight' in Paris in the 1880s; but it shows a number of divergences from that text. It's certainly quite recent by the standards of Vak texts."
OGHKOR OGHKOR TISSILAK OGHKOR,Knock,12,Memory: Pattern,Forge 1 / Knock 2,Lesson: The Great Signs and the Great Scars,2,Grail / Knock,3,,,Dawn,20%,A surprisingly chatty text by an entity that identifies itself as 'the Excellency Gnathobasis'.
The Grand Passage of the Hours,Knock,12,Memory: Pattern,Forge 1 / Knock 2,Lesson: Door & Wall,2,Knock / Forge,5,Vak,,Dawn,20%,"The Limian Burzghash's gazetteer of the patterns and rhythms of the Hours' progress through the Mansus, from Concursum to Malleary, Malleary to Wood�"
Deaths and their Evasions,Knock,14,Memory: A Stolen Secret,Knock 1 / Moon 2,Lesson: Edicts Liminal,2,Moth / Knock,3,Fucine,,Baronial,5%,"Father Stanislav John Schaller writes of the means and limitation of passage between the orders of the Mansus - Know, Long, Names, Hours. Unusually, Father John has written this book in Fucine - for, he says, especial secrecy."
A Manual for Departure,Knock,14,Secret Threshold,Knock 2 / Rose 1,Lesson: Door & Wall,2,Knock / Forge,5,Vak,,Dawn,20%,"The author, who identifies itself as the Jekadu, claims to be one of the Great Hooded Princes of the Land of the River. The style is informal, even chatty."
A Tower Falls,Knock,16,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Preliminal Meter,3,Knock / Rose,1,Vak,Record,Nocturnal,2%,The phonograph is packaged in glossy amethyst purple card with the words A TOWER FALLS in nine languages on both sides. There is no other identifying information at all.
The Road to Janus,Knock,18,Memory: Pattern,Forge 1 / Knock 2,Lesson: Door & Wall,3,Knock / Forge,5,Vak,,Dawn,20%,"The Limian Burzghash makes a series of prophecies regarding 'the Initiates of the House of Silence', with intricate, if unhelpful, predictions on their passage through the House."
Xenodicene Odes,Knock,21,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Preliminal Meter,3,Knock / Rose,5,Vak,Infinite,Dawn,20%,"Poetry attributed to Xenodice, Name of the Horned-Axe."
The Locksmith's Dream: a Light through the Keyhole,Lantern,4,Memory: Revelation,Lantern 2,Lesson: Purifications & Exaltations,1,Sky / Lantern,1,,,Nocturnal,2%,The first volume of Teresa Galmier's examination of parallels in the mystic dreams of artisans.
Bancroft Diaries,Lantern,4,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Pyroglyphics,1,Forge / Lantern,2,Latin,,Curia,5%,"Lord Franklin Bancroft was initiated into the arts of the Flowermaker by the 'rose-witch' Fionna Ayrshire. He rose to become a Society provider of occult services and secret pleasures, before his abrupt disappearance in 1790."
In the Malleary,Lantern,4,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Anbary & Lapidary,1,Sky / Forge,3,,,Baronial,5%,A lively account of the creation of each jewel at the world's beginning.
Sunrise Awakenings,Lantern,4,Memory: Revelation,Lantern 2,Lesson: Auroral Contemplations,1,Lantern / Edge,3,,,Baronial,5%,"An uncharacteristically poignant meditation by the Edge-long Twrog of Meirionnydd, who later came to Hush House under a variety of other names, often in search of some sort of fight."
The Locksmith's Dream: Incursus,Lantern,6,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Glaziery & Lightsmithing,1,Lantern / Sky,1,,,Nocturnal,2%,"The fifth (and final?) volume of Teresa Galmier's notorious work, which began as an examination of parallels in the mystic dreams of artisans but became an account of her own occult journey. This volume was never published nor, apparently, even written."
The Known-Unknown Tantra,Lantern,6,Memory: Revelation,Lantern 2,Lesson: Watchman's Paradoxes,1,Lantern / Sky,2,Sanskrit,,Curia,5%,"Carlos Garcia Sauri, the ecstatic mystic of the Pyrenees, was known to recite this in three languages, though he had never visited the Subcontinent."
Wainscot Histories,Lantern,6,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Auroral Contemplations,1,Lantern / Edge,3,,,Baronial,5%,"Subtitled 'Stories from Behind the Walls': a miscellany of non-traditional histories, including battles not generally acknowledged and countries which appear on no map, told in a playful, apparently fictional manner."
Gospel of Nicodemus,Lantern,6,Memory: Revelation,Lantern 2,Lesson: Sacra Solis Invicti,1,Lantern / Sky,4,,,Solar,10%,An apocryphal account of the works and experiences of the Shepherd Illuminate by one of his supposed companions.
Letters To My Successor,Lantern,8,Memory: Revelation,Lantern 2,Lesson: Inks of Revelation,2,Lantern / Moth,1,,,Nocturnal,2%,"Advice from Gervinus van Lauren, eleventh Librarian of Hush House, to the one who will come after him."
The Watchful Tantra,Lantern,8,Memory: Revelation,Lantern 2,Lesson: Purifications & Exaltations,2,Sky / Lantern,2,Sanskrit,Scroll,Curia,5%,"Notorious for its involvement in the deaths of Dafyd Jones and Meredith Blaine, two early physicists who each claimed to have the only copy and who ultimately fought a duel over it in 1840"
The Rose of Waznei,Lantern,8,Memory: Revelation,Lantern 2,Lesson: Auroral Contemplations,2,Lantern / Edge,3,Greek,,Baronial,5%,"The heretical teachings of a disgraced offshoot of the Sisterhood of the Knot, that arcane-contemplative order that existed in all histories. This was recorded by 'Waznei', and dedicated to St Respicius."
Prophecies of Glory,Lantern,8,Memory: Revelation,Lantern 2,Lesson: Watchman's Paradoxes,2,Lantern / Sky,3,,,Baronial,5%,"Religious and patriotic fables collected, or composed, by William Gore."
A Light in the Inkwell,Lantern,8,Memory: Revelation,Lantern 2,Lesson: Inks of Revelation,2,Lantern / Moth,3,,,Baronial,5%,"Musgrave, fourth of the Dewulf line, writes tentatively about the 'Covenant of Brancrug' and the legacy of the sacred inks he calls 'encausta revelationia'."
The Alloy of the White Rose,Lantern,10,Memory: Revelation,Lantern 2,Lesson: Purifications & Exaltations,2,Sky / Lantern,4,,,Solar,10%,"An account by 'Mistress White-Flower' of the alchemical techniques favoured by the House of York, also identified with the 'Dawn Road'. These techniques failed to bring them victory in the War of the Roads, but are 'not to be discounted'."
Unhatched Hymns,Lantern,10,Savage Hymn,Scale 2 / Sky 2,Lesson: Sacra Solis Invicti,2,Lantern / Sky,4,Sabazine,,Solar,10%,"Hymns attributed to Saint Lucia the Eyeless, patron of glassworkers and Name of the Hour called Meniscate."
The Sun's Design,Lantern,10,Numen: the Paths of the Sun,Forge 5 / Knock 5 / Lantern 5,Lesson: Watchman's Paradoxes,2,Lantern / Sky,8,Cracktrack,Tablet,Unknown,0%,"A scorched slab of black corundum, minutely scratched on every side with intricate ideoglyphs. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
The Chandler's Wish,Lantern,12,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Inks of Revelation,2,Lantern / Moth,2,,,Curia,5%,"Formulae and instructions invoking Moth, Lantern and - exceptionally, paradoxically - the liminal and theoretical Hour called the Chandler. The author is anonymous, admitting only that they are 'one who is not yet nameless.'"
"The Sky, the Soul",Lantern,12,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Pyroglyphics,2,Forge / Lantern,5,Aramaic,,Dawn,20%,"The grand labour of Kalle, an ascetic poet writing at the court of the Shadowless Kings."
Opus Magnum Caeruleum,Lantern,14,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Pyroglyphics,2,Forge / Lantern,3,,,Baronial,5%,Ambrose Westcott used to render the title of this venerable and anonymous work mockingly as 'the Big Blue Business'. A kinder translation would be 'the Great Work in Azure'.
The High Mysteries of the Innermost Chamber of our Church Solar,Lantern,14,Memory: Revelation,Lantern 2,Lesson: Sacra Solis Invicti,2,Lantern / Sky,4,Fucine,,Solar,10%,"The secret rites of the Church of the Unconquered Sun, which held power in at least two Histories."
Quirinic Meditations,Lantern,21,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Auroral Contemplations,3,Lantern / Edge,4,Ericapaean,Infinite,Solar,10%,Battle-apothegms of the Name Quirinus.
What Does Not Bark,Moon,4,Memory: Storm,Heart 2 / Sky 2,Lesson: Edicts Inviolable,1,Heart / Moon,1,,,Nocturnal,2%,"Alexander Probst writes warily of 'Calyptra' - a law, principle or society which prevents the dissemination of dangerous knowledge."
An Investigation of A Foundered Country,Moon,4,Memory: A Stolen Secret,Knock 1 / Moon 2,Lesson: Hill & Hollow,1,Moon / Scale,1,,Record,Nocturnal,2%,Subtitled 'Recordings from the Atlantic Coast.'
The Viennese Conundra,Moon,4,Memory: Fear,Edge 1 / Scale 2,Lesson: Wolf Stories,1,Moon / Scale,2,,,Curia,5%,"Van Driel describes odd events in Vienna - the disappearance of children; epidemics of parasite activity; animal mutilations; nightmares of worms; the activities of a charitable organisation, the New Ligeians, that funds the burial of the poor. She proposes peculiar connections between these activities."
Collected Hush House Lectures,Moon,4,Memory: Intuition,Moon 2 / Rose 2,Lesson: Sickle & Eclipse,1,Edge / Moon,2,,,Curia,5%,"In the 1800s, Dr Arun Peel was invited to give a series of lectures to the Curia. They combine his pithy view of the Histories with his particular brand of unhelpfully ironical insight."
The Twelve Letters On Consequence,Moon,4,Memory: Regret,Forge 1 / Winter 2,Lesson: Putrefactions & Calcinations,1,Winter / Moon,2,,,Curia,5%,"Julian Coseley's epistolary treatise on 'what may come after', addressed to his once-friend Claude Hersault, the mystic and antiquarian."
A Pale Lady and a Prince of Wines,Moon,4,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Sea Stories,1,Moon / Grail,2,,,Curia,5%,"An anonymous biography of Eva Dewulf, last of the Dewulfs, focused rather salaciously on her personal troubles and intrigues."
The Moon's Egg,Moon,4,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Pearl & Tide,1,Rose / Moon,4,,,Solar,10%,The third and last volume of the meditations of Abbot Thomas of the Abbey of the Black Dove.
An Exorcist's Field Manual,Moon,6,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Edicts Martial,1,Moon / Edge,1,,,Nocturnal,2%,"A practical guide to 'troublesome Dead', grounded in theory but with a clear focus on their disposal, by the redoubtable Detective-Ostiary Wheelock of the Suppression Bureau."
The Kerisham Portolan,Moon,6,Memory: Gossip,Grail 1 / Rose 2,Lesson: Sea Stories,1,Moon / Grail,2,,,Curia,5%,A beautifully illustrated and heavily annotated 'portolan' - a nautical atlas of ports and destinations.
The Sea Does Not Regret,Moon,6,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Pearl & Tide,1,Rose / Moon,2,,,Baronial,5%,"Ehsan Fekri, one-time Secretary Salvant of the Curia of the Isle - responsible for the Curia's healing efforts - writes of his experiences in Brancrug, and hints at his travels elsewhere."
Black Nephrite,Moon,6,Memory: Fear,Edge 1 / Scale 2,Lesson: Wolf Stories,1,Moon / Scale,3,,,Baronial,5%,"One of Valentine Dewulf's dream-journals, in which he records his visions of 'a place that is no place, beneath the house that is no house.'"
The World Despoil'd,Moon,6,Memory: Solace,Heart 2 / Sky 1,Lesson: Maggephene Mysteries,1,Moon / Heart,3,,,Baronial,5%,"Subtitled 'the Flowers in the Waste': a epic poem that presents a medical treatise through allegory. The author is Gideon Dewulf, 5th Baron Brancrug, sometimes unkindly called 'the Cutter'."
The Account of Kanishk at the Spider's Door,Moon,6,Memory: A Stolen Secret,Knock 1 / Moon 2,Lesson: Sharps,1,Edge / Moon,5,Aramaic,,Dawn,20%,"Lok Kahuli, Kanishk's victim and lover, wrote this account, perhaps posthumously."
The Larquebine Codex,Moon,6,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Sea Stories,1,Moon / Grail,5,Phrygian,,Dawn,20%,Christoph Larquebus claimed to have purchased two hand-written copies of the Codex from a family of witches on the shores of the Sea of Marmara. A third was 'given to the Sea'.
The Morphy Codex,Moon,6,Beguiling Melody,Grail 2 / Sky 2,Lesson: Tridesma Hiera,1,Moon / Grail,5,Aramaic,,Dawn,20%,A priestess of the Sisterhood of the Knot claims to have discerned the true meaning of the Thunderskin's birth.
EXPERIMENT BEYOND SIGHT,Moon,8,Memory: Revelation,Lantern 2,Lesson: Edicts Inviolable,2,Heart / Moon,1,,Film,Nocturnal,2%,"Ilse Bischoff's bewildering, widely derided final film."
The Crossing to Noon,Moon,8,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Sea Stories,2,Moon / Grail,2,Latin,,Curia,5%,"The mystic Garcia Sauri gives a picaresque account of the adventures of Franklin Bancroft, 'Prince of Wines', and Eva Dewulf, 'the Pale Lady', on their way to the hidden island of Noon."
To a Pale Lady,Moon,8,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Pearl & Tide,2,Rose / Moon,2,,,Curia,5%,A collection of Franklin Bancroft's letters to Eva Dewulf.
The Deaths of the Moon,Moon,8,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Snow Stories,2,Winter / Moon,3,Killasimi,,Baronial,5%,A Haustorial tract on various forms of survival after death.
Malachite Supplications,Moon,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Tridesma Hiera,2,Moon / Grail,4,Greek,,Solar,10%,Prayers addressed to the Malachite by the Sisterhood of the Triple Knot.
Codex Acephali,Moon,10,Memory: Regret,Forge 1 / Winter 2,Lesson: Snow Stories,2,Winter / Moon,2,Latin,,Curia,5%,"Sometimes called 'The Book of the Clean Skull'. The book contains accounts of enlightenments available through the gradual, surgical removal of the lobes of the brain."
The Three and the Three (Kerisham Manuscript),Moon,10,Memory: Intuition,Moon 2 / Rose 2,Lesson: Edicts Inviolable,2,Heart / Moon,2,,,Curia,5%,"A more recent version of a much older text, this book describes the operations of the Chancel and the Calyptra, two triads of Hours with subtle, far-reaching powers and responsibilities. It has been heavily censored, but even so contains potent secrets."
The Queen's Turn,Moon,10,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Hill & Hollow,2,Moon / Scale,3,,,Baronial,5%,"A sixteenth-century translation of the Barrowchild's account of 'Lagiah's Turn' - when Lagiah, the Queen Unsated, was offered the opportunity to enter the service of the Hours of the Triple Knot, as long as she repudiated her brother-lover Antaios."
Observations on the Peacock Door,Moon,10,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Sickle & Eclipse,2,Edge / Moon,4,Vak,,Solar,10%,"Ninegala of Lagash discusses the Peacock Door, the highest door available to mortals in the Mansus: 'a rent, an imperfection, an abrasion.'"
The Black Book of Brittany,Moon,12,Bittersweet Certainty,Lantern 1 / Winter 2,Lesson: Inks of Containment,2,Winter / Moon,4,,,Solar,10%,"A volume of ink-lore gifted to St Brandan's by Brian of Brittany, who was made Earl of Cornwall after the Norman Conquest."
The Three and the Three (Vatican Manuscript),Moon,14,Memory: Intuition,Moon 2 / Rose 2,Lesson: Edicts Inviolable,2,Heart / Moon,4,,,Solar,10%,"A Church-authorised version of an older text, this book describes the Chancel and the Calyptra, two triads of Hours with subtle, far-reaching powers and responsibilities. It has clearly been reworked to fit Church doctrine."
The Secret Colours,Moon,14,Memory: Revelation,Lantern 2,Lesson: Sickle & Eclipse,2,Edge / Moon,4,Greek,,Solar,10%,"Black Elie, disgraced Damascene Matriarch of the Sisterhood of the Triple Knot, wrote this while fleeing the 'agents of the Duty.'"
Enchiridion Tragularis,Moon,14,Memory: Intuition,Moon 2 / Rose 2,Lesson: Serpents & Venoms,2,Scale / Moon,5,Greek,,Dawn,20%,The poison-manual of the order of assassins called the Tragulari.
Nix Abolix,Moon,16,Memory: Fear,Edge 1 / Scale 2,Lesson: Wolf Stories,3,Moon / Scale,5,Fucine,,Dawn,20%,"A grim treatise on 'those feasts that occur, those feasts that are not to be witnessed.'"
The Voyages of Ferninshun of Oreol,Moon,18,Memory: Salt,Knock 1 / Moon 1 / Winter 1,Lesson: Sea Stories,3,Moon / Grail,5,Fucine,,Dawn,20%,The impossible travels of a sea-captain of the late Phoenician era. Suppressed throughout recorded history: those who read it were said to disappear.
The Three and the Three (St Chiavi Manuscript),Moon,18,Numen: Three Rules,Heart 5 / Moth 5 / Scale 5,Lesson: Edicts Inviolable,3,Heart / Moon,8,,,Unknown,0%,"This book describes the operations of the Chancel and the Calyptra, two triads of Hours with subtle, far-reaching powers and responsibilities. Of all the extant versions, this one has best survived the interventions of the Calyptra. [This book houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
The Six Letters on Necessity,Moth,4,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,1,Forge / Moth,2,,,Curia,5%,"Warnings and confessions about the cost of the secret arts, addressed to a student by the seventeenth-century magus (and reputed immortal) Julian Coseley"
Kitling Ripe and the Moldywarp's Grave (and Other Stories),Moth,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Resurgences & Emergences,1,Moth / Grail,2,,,Curia,5%,A lusciously illustrated tome of loosely connected children's stories. Few of them are remotely suitable for children.
The Carbonek Schism,Moth,6,Memory: Hindsight,Scale 1 / Winter 2,Lesson: Sacra Limiae,1,Moth / Sky,3,Sabazine,,Baronial,5%,"The order of Obliviates, on the brink of schism, assembles in a Bounds-house identified only as 'Carbonek', after the Fisher-King's castle of legend. There the Know and the Long of the order debate their long policy of non-involvement in 'matters of Feather and Scale'."
On Matthias and the Amethyst Imago: Loss,Moth,6,Memory: A Stolen Secret,Knock 1 / Moon 2,Lesson: Solutions & Separations,1,Moth / Knock,5,Aramaic,,Dawn,20%,"An account of an occult romance. A certain Para, son of Aaron, claims to have written this in a single night as part of his initiation into the Damascene branch of the House of Lethe - that order of immortals who rejected their past and future."
The Shaven Lock Tantra,Moth,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Rites of the Roots,1,Nectar / Moth,5,Sanskrit,,Dawn,20%,"Also known as 'The One Who Has Shaven His Hair'. This, the story goes, is the lore that even the shapechanging Vanaras rejected."
The Fire-Circle Tantra,Moth,8,Memory: Intuition,Moon 2 / Rose 2,Lesson: Solutions & Separations,2,Moth / Knock,2,Sanskrit,Scroll,Curia,5%,"The one known extant copy of this in Western Europe was stolen from the British Library in 1892. One Harvey Hattington confessed to the crime and claimed to have eaten it, with butter and garlic, in a moment of ungovernable whimsy."
The Rose of Hypatia,Moth,8,Memory: Solace,Heart 2 / Sky 1,Lesson: Weaving & Knotworking,2,Heart / Moth,4,Greek,,Solar,10%,"A volume of collected teachings of the Sisterhood of the Knot, that arcane-contemplative order that existed in all histories, but in some was very powerful indeed. This was recorded by 'Hypatia', and dedicated to St Nympha."
The Silver Book,Moth,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Edicts Liminal,2,Moth / Knock,5,Fucine,,Dawn,20%,"A manual of the Ordo Limiae, an order of quasi-immortals who maintained a secret enclave at the source of the river Limia, in the Roman province of Hispania Gallaecia. This manual was compiled by one Burzghash, who explains that he came to join the Ordo from the 'city of messenger eagles' after he abandoned the service of the Ivory Dove."
From History to Eternity,Moth,10,Memory: Intuition,Moon 2 / Rose 2,Lesson: Inks of Revelation,2,Lantern / Moth,1,,,Nocturnal,2%,"A contraband manual of the Inks of Revelation. The author explains in a brief foreword that she is a high-ranking officer of 'an agency of the Duties' and that, though she supports its mission, she has concerns about the long-term consequences of its work."
The Debate of Seven Cups,Moth,10,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Solutions & Separations,2,Moth / Knock,2,,,Curia,5%,Distillations of Spirit' recorded by an alchemist who identifies himself in the foreword as 'But Sir Thomas Browne's Reflexion.'
An Echo of Silence,Moth,10,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Sacra Limiae,2,Moth / Sky,4,Sabazine,,Solar,10%,A very heterodox history of the House of Lethe as recorded by 'the Serenity' - a Lethean adept who declares that the House of Lethe was created explicitly to prevent the ascension of any more mortals to Name or Hour status.
Kopralith Omphalos,Moth,10,Numen: Weaving the World,Heart 5 / Moon 5 / Nectar 5,Lesson: Weaving & Knotworking,2,Heart / Moth,8,Killasimi,Tablet,Unknown,0%,"What is this? A tufted fossil of silken fibre, big as a child. [This object houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
The Geminiad iii,Moth,12,Beguiling Melody,Grail 2 / Sky 2,Lesson: Resurgences & Emergences,2,Moth / Grail,2,Fucine,,Curia,5%,"A fragile manuscript, illuminated with twinned shapes of sad and luminous beauty, and with all the phases of the moon. It might be as old as the seventh century, but the language - Fucine - is much older. Coral decorates its cover, and its page-edges are sharp enough to slash a throat."
The Serenity of the Black Wood,Moth,12,Confounding Parable,Moon 2 / Rose 2 / Sky 2,Lesson: Sacra Limiae,2,Moth / Sky,4,Greek,,Solar,10%,"An allegorical history of the House of Lethe, which it is here implied was inspired by the Centipede. 'Sereno Blackwood' is an occult alias to this day."
"Inaam, Kapigiginlupir, Garkie, Cryppys",Moth,14,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,2,Forge / Moth,2,Phrygian,,Curia,5%,"In which four enigmatic figures tell the stories they've heard over the years at the Roost, the secret location where the aviform Hours congregate."
The Book of Masks,Moth,14,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Weaving & Knotworking,2,Heart / Moth,5,Phrygian,,Dawn,20%,"Athena Vana's work on the rogue Hour called the Vagabond, who is also known as the Laughingthrush, the Centipede, the Pilgrim, and by many other names - or as Vana has it, 'masks'."
Five Creations,Moth,14,Memory: Gossip,Grail 1 / Rose 2,Lesson: Resurgences & Emergences,2,Moth / Grail,5,Vak,,Dawn,20%,"The itinerant scholar Shohei debated five possible origins for humanity with a hooded figure since claimed to be the Beach-Crow. Shohei later claimed that all these accounts had proven false, but the debate was, nevertheless, recorded."
White Jade Tablet,Moth,14,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Rites of the Roots,2,Nectar / Moth,5,Cracktrack,,Dawn,20%,Supposedly copied from a tablet of white jade which serves as the Covenant-stone of the Grove of the Green Immortals - the token which gives that Library shelter beneath the Watchman's Tree.
The Songs of the Carapace Cross,Moth,16,Memory: Pattern,Forge 1 / Knock 2,Lesson: Edicts Liminal,3,Moth / Knock,5,Fucine,,Dawn,20%,"Micah Xi, sometimes called the Magus of Quartz, etched this work in acid on stone. It has been reproduced many times in many languages since, but the reproductions are often lost to landslides."
Plantagenet Mysteries,Moth,21,Memory: Foresight,Forge 2 / Lantern 1,Lesson: Transformations & Liberations,3,Forge / Moth,2,Mandaic,Infinite,Unknown,0%,"Exhaustive attempts to analyse and renew the Blood of the Sun by one of the numerous occult societies, after the manner of the Endeavour Club, for whatever squalid political motive."
De Horis book 1,Nectar,4,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Rites of the Roots,1,Nectar / Moth,3,Latin,,Baronial,5%,"An occasionally coherent catalogue of the secret gods, organised by hour. This is a reprint, but in the original Latin."
Three Flowers Hath the Tree,Nectar,4,Memory: Gossip,Grail 1 / Rose 2,Lesson: Leaves & Thorns,1,Nectar / Grail,3,,,Baronial,5%,"Ernestine Peterhans records her observations of the growths of trees and flowers around the Isle, and the omens and portents she attempts to draw from them - particularly the yew-tree in Earl Brian's Meadow, whose flowerings are sometimes eccentric."
Kitling Ripe's Tasty Treats,Nectar,4,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Spices & Savours,1,Nectar / Forge,3,,,Baronial,5%,"The Velvet is the Hour of secrets; and so very little is known of the - Moth-long? Nectar-long? - who ascend to immortality under her auspices. But this book (by 'Kitling's Friend') purports to be part cook-book, and part manual for immortality."
The Most Sorrowful End of the Lady Nonna,Nectar,4,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Herbs & Infusions,1,Heart / Nectar,4,Henavek,,Solar,10%,"An unauthorised account of the death of Abbess Nonna, written by Eusebia, one of the two sisters accused of having murdered Nonna through 'poisoning and Arts unsanctioned.' Eusebia, awaiting execution, intends to hide this account in her cell..."
Honey: the Comprehensive Guide,Nectar,6,Memory: Contradiction,Edge 2 / Moon 1,Lesson: Insects & Nectars,1,Nectar / Moon,1,,,Nocturnal,2%,"Harvey Hattington - pilot, polymath, confectioner - writes with great enthusiasm about the 'marvellous work of the Bee'."
The Shadow in the Stair,Nectar,6,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Coil & Chasm,1,Scale / Nectar,3,,,Baronial,5%,"Ernestine Peterhans records her conversations with the 'little darkness' in Hush House's Stair Tenebrous, which she calls 'Donkerling'."
Fekri's Herbary,Nectar,6,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Herbs & Infusions,1,Heart / Nectar,3,Aramaic,,Baronial,5%,"The early wisdom of Ehsan Fekri, at that point a travelling healer, much later the Secretary Salvant of the Curia of the Isle."
The Berrybook,Nectar,8,Memory: Satisfaction,Grail 2 / Heart 1,Lesson: Leaves & Thorns,2,Nectar / Grail,2,Killasimi,,Curia,5%,"Thirza Blake, seventh librarian of Hush House, talks about fruit. For no other apparent reason but that it was the kind of thing she did, she talks about fruit in the woven language Killasimi."
De Ratio Quercuum,Nectar,8,Earth-Sign,Nectar 2 / Scale 2,Lesson: Rites of the Roots,2,Nectar / Moth,2,Latin,,Curia,5%,"In English the title translates roughly as 'the Account of the Oaks'; but this is Nathaniel Darcy-Evers' fascinating, if haphazard, survey of the occult properties of every tree he can find, not just oaks."
The Bee-Keeper's Ends,Nectar,8,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Insects & Nectars,2,Nectar / Moon,3,,,Curia,5%,"Dialogues with bees and uses for honey, as erratically recorded by Ricardo Milagro, gardener of Hush House in Musgrave's time."
Green Jasper Tablet,Nectar,10,Memory: Impulse,Moth 2 / Nectar 1,Lesson: Rites of the Roots,2,Nectar / Moth,5,Cracktrack,,Dawn,20%,Supposedly copied from a tablet of green jasper which serves as the Covenant-stone of the Monastery of the Fifth Cup - the token which gives that Library shelter beneath the Watchman's Tree.
The Writing on the Wall,Nectar,10,Numen: an Irresistible Feast,Edge 5 / Grail 5 / Nectar 5,Lesson: Spices & Savours,2,Nectar / Forge,8,Vak,Thing,Unknown,0%,"The most delicious traditions of the Carapace Cross, as recorded on the walls of the Mansus and transcribed into a book of ninety-nine pages by one known only as 'cc'. Although this book does not exist, it is read to a sleeper under certain very specific circumstances - and certain fragments jotted down on waking. [This 'book' houses a <i>numen</i> - a truth so powerful it can perhaps believe itself.]"
